a,b,c,d,e,f,g,h,i
,,,,,,,,
,,,,,,,,
,,,,,,,,
,false,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Operator name :,User,,,,,,,
Date:,07/08/2019,,,,,,,
,,,,,,,,
Sample Nï¿½,Count,V (mL),CFU/mL,Dilution,CFU Prorata,Area (%),Sensitivity,Parameters
1,45,1,60.11,1,60,74.868484,50,validation
A359952-1,126,1,1683,1 in 10,168,74.868484,50,PCA
A359952-1,17,1,2271,1 in 100,23,74.868484,50,PCA
A359952-1,27,1,36060,1 in 1000,36,74.868484,50,PCA
A359952-1,--- Average ---,,1736,,,,,